CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Idade_Group,Renda_Group,Score_Group,Cluster_KMeans,Cluster_Hierarchical
46,Female,24,39,65,Jovem,Renda_Baixa,Score_Medio,0,1
47,Female,50,40,55,Senior,Renda_Baixa,Score_Medio,3,1
48,Female,27,40,47,Jovem,Renda_Baixa,Score_Medio,3,1
49,Female,29,40,42,Jovem,Renda_Baixa,Score_Medio,3,1
50,Female,31,40,42,Adulto,Renda_Baixa,Score_Medio,3,1
51,Female,49,42,52,Adulto,Renda_Baixa,Score_Medio,3,1
52,Male,33,42,60,Adulto,Renda_Baixa,Score_Medio,3,1
53,Female,31,43,54,Adulto,Renda_Baixa,Score_Medio,3,1
54,Male,59,43,60,Senior,Renda_Baixa,Score_Medio,3,1
55,Female,50,43,45,Senior,Renda_Baixa,Score_Medio,3,1
56,Male,47,43,41,Adulto,Renda_Baixa,Score_Medio,3,1
57,Female,51,44,50,Senior,Renda_Baixa,Score_Medio,3,1
58,Male,69,44,46,Senior,Renda_Baixa,Score_Medio,3,1
59,Female,27,46,51,Jovem,Renda_Baixa,Score_Medio,3,1
60,Male,53,46,46,Senior,Renda_Baixa,Score_Medio,3,1
61,Male,70,46,56,Senior,Renda_Baixa,Score_Medio,3,1
62,Male,19,46,55,Jovem,Renda_Baixa,Score_Medio,3,1
63,Female,67,47,52,Senior,Renda_Baixa,Score_Medio,3,1
64,Female,54,47,59,Senior,Renda_Baixa,Score_Medio,3,1
65,Male,63,48,51,Senior,Renda_Baixa,Score_Medio,3,1
66,Male,18,48,59,Jovem,Renda_Baixa,Score_Medio,3,1
67,Female,43,48,50,Adulto,Renda_Baixa,Score_Medio,3,1
68,Female,68,48,48,Senior,Renda_Baixa,Score_Medio,3,1
69,Male,19,48,59,Jovem,Renda_Baixa,Score_Medio,3,1
70,Female,32,48,47,Adulto,Renda_Baixa,Score_Medio,3,1
71,Male,70,49,55,Senior,Renda_Baixa,Score_Medio,3,1
72,Female,47,49,42,Adulto,Renda_Baixa,Score_Medio,3,1
73,Female,60,50,49,Senior,Renda_Media,Score_Medio,3,1
74,Female,60,50,56,Senior,Renda_Media,Score_Medio,3,1
75,Male,59,54,47,Senior,Renda_Media,Score_Medio,3,1
76,Male,26,54,54,Jovem,Renda_Media,Score_Medio,3,1
77,Female,45,54,53,Adulto,Renda_Media,Score_Medio,3,1
78,Male,40,54,48,Adulto,Renda_Media,Score_Medio,3,1
79,Female,23,54,52,Jovem,Renda_Media,Score_Medio,3,1
80,Female,49,54,42,Adulto,Renda_Media,Score_Medio,3,1
81,Male,57,54,51,Senior,Renda_Media,Score_Medio,3,1
82,Male,38,54,55,Adulto,Renda_Media,Score_Medio,3,1
83,Male,67,54,41,Senior,Renda_Media,Score_Medio,3,1
84,Female,46,54,44,Adulto,Renda_Media,Score_Medio,3,1
85,Female,21,54,57,Jovem,Renda_Media,Score_Medio,3,1
86,Male,48,54,46,Adulto,Renda_Media,Score_Medio,3,1
87,Female,55,57,58,Senior,Renda_Media,Score_Medio,3,1
88,Female,22,57,55,Jovem,Renda_Media,Score_Medio,3,1
89,Female,34,58,60,Adulto,Renda_Media,Score_Medio,3,1
90,Female,50,58,46,Senior,Renda_Media,Score_Medio,3,1
91,Female,68,59,55,Senior,Renda_Media,Score_Medio,3,1
92,Male,18,59,41,Jovem,Renda_Media,Score_Medio,3,1
93,Male,48,60,49,Adulto,Renda_Media,Score_Medio,3,1
94,Female,40,60,40,Adulto,Renda_Media,Score_Medio,3,1
95,Female,32,60,42,Adulto,Renda_Media,Score_Medio,3,1
96,Male,24,60,52,Jovem,Renda_Media,Score_Medio,3,1
97,Female,47,60,47,Adulto,Renda_Media,Score_Medio,3,1
98,Female,27,60,50,Jovem,Renda_Media,Score_Medio,3,1
99,Male,48,61,42,Adulto,Renda_Media,Score_Medio,3,1
100,Male,20,61,49,Jovem,Renda_Media,Score_Medio,3,1
101,Female,23,62,41,Jovem,Renda_Media,Score_Medio,3,1
102,Female,49,62,48,Adulto,Renda_Media,Score_Medio,3,1
103,Male,67,62,59,Senior,Renda_Media,Score_Medio,3,1
104,Male,26,62,55,Jovem,Renda_Media,Score_Medio,3,1
105,Male,49,62,56,Adulto,Renda_Media,Score_Medio,3,1
106,Female,21,62,42,Jovem,Renda_Media,Score_Medio,3,1
107,Female,66,63,50,Senior,Renda_Media,Score_Medio,3,1
108,Male,54,63,46,Senior,Renda_Media,Score_Medio,3,1
109,Male,68,63,43,Senior,Renda_Media,Score_Medio,3,1
110,Male,66,63,48,Senior,Renda_Media,Score_Medio,3,1
111,Male,65,63,52,Senior,Renda_Media,Score_Medio,3,1
112,Female,19,63,54,Jovem,Renda_Media,Score_Medio,3,1
113,Female,38,64,42,Adulto,Renda_Media,Score_Medio,3,1
114,Male,19,64,46,Jovem,Renda_Media,Score_Medio,3,1
115,Female,18,65,48,Jovem,Renda_Media,Score_Medio,3,1
116,Female,19,65,50,Jovem,Renda_Media,Score_Medio,3,1
117,Female,63,65,43,Senior,Renda_Media,Score_Medio,3,1
118,Female,49,65,59,Adulto,Renda_Media,Score_Medio,3,1
119,Female,51,67,43,Senior,Renda_Media,Score_Medio,3,1
120,Female,50,67,57,Senior,Renda_Media,Score_Medio,3,1
121,Male,27,67,56,Jovem,Renda_Media,Score_Medio,3,1
122,Female,38,67,40,Adulto,Renda_Media,Score_Medio,3,1
123,Female,40,69,58,Adulto,Renda_Media,Score_Medio,3,1
124,Male,39,69,91,Adulto,Renda_Media,Score_Alto,2,0
125,Female,23,70,29,Jovem,Renda_Media,Score_Baixo,1,1
126,Female,31,70,77,Adulto,Renda_Media,Score_Alto,2,0
127,Male,43,71,35,Adulto,Renda_Media,Score_Medio,3,1
128,Male,40,71,95,Adulto,Renda_Media,Score_Alto,2,0
129,Male,59,71,11,Senior,Renda_Media,Score_Baixo,1,2
130,Male,38,71,75,Adulto,Renda_Media,Score_Alto,2,0
131,Male,47,71,9,Adulto,Renda_Media,Score_Baixo,1,2
132,Male,39,71,75,Adulto,Renda_Media,Score_Alto,2,0
133,Female,25,72,34,Jovem,Renda_Media,Score_Baixo,3,1
134,Female,31,72,71,Adulto,Renda_Media,Score_Alto,2,0
135,Male,20,73,5,Jovem,Renda_Media,Score_Baixo,1,2
136,Female,29,73,88,Jovem,Renda_Media,Score_Alto,2,0
137,Female,44,73,7,Adulto,Renda_Media,Score_Baixo,1,2
138,Male,32,73,73,Adulto,Renda_Media,Score_Alto,2,0
139,Male,19,74,10,Jovem,Renda_Media,Score_Baixo,1,2
140,Female,35,74,72,Adulto,Renda_Media,Score_Alto,2,0
141,Female,57,75,5,Senior,Renda_Media,Score_Baixo,1,2
142,Male,32,75,93,Adulto,Renda_Media,Score_Alto,2,0
143,Female,28,76,40,Jovem,Renda_Media,Score_Medio,3,1
144,Female,32,76,87,Adulto,Renda_Media,Score_Alto,2,0
145,Male,25,77,12,Jovem,Renda_Media,Score_Baixo,1,2
146,Male,28,77,97,Jovem,Renda_Media,Score_Alto,2,0
147,Male,48,77,36,Adulto,Renda_Media,Score_Medio,1,1
148,Female,32,77,74,Adulto,Renda_Media,Score_Alto,2,0
149,Female,34,78,22,Adulto,Renda_Media,Score_Baixo,1,2
150,Male,34,78,90,Adulto,Renda_Media,Score_Alto,2,0
151,Male,43,78,17,Adulto,Renda_Media,Score_Baixo,1,2
152,Male,39,78,88,Adulto,Renda_Media,Score_Alto,2,0
153,Female,44,78,20,Adulto,Renda_Media,Score_Baixo,1,2
154,Female,38,78,76,Adulto,Renda_Media,Score_Alto,2,0
155,Female,47,78,16,Adulto,Renda_Media,Score_Baixo,1,2
156,Female,27,78,89,Jovem,Renda_Media,Score_Alto,2,0
157,Male,37,78,1,Adulto,Renda_Media,Score_Baixo,1,2
158,Female,30,78,78,Adulto,Renda_Media,Score_Alto,2,0
159,Male,34,78,1,Adulto,Renda_Media,Score_Baixo,1,2
160,Female,30,78,73,Adulto,Renda_Media,Score_Alto,2,0
161,Female,56,79,35,Senior,Renda_Media,Score_Medio,1,1
162,Female,29,79,83,Jovem,Renda_Media,Score_Alto,2,0
163,Male,19,81,5,Jovem,Renda_Media,Score_Baixo,1,2
164,Female,31,81,93,Adulto,Renda_Media,Score_Alto,2,0
165,Male,50,85,26,Senior,Renda_Media,Score_Baixo,1,2
166,Female,36,85,75,Adulto,Renda_Media,Score_Alto,2,0
167,Male,42,86,20,Adulto,Renda_Media,Score_Baixo,1,2
168,Female,33,86,95,Adulto,Renda_Media,Score_Alto,2,0
169,Female,36,87,27,Adulto,Renda_Media,Score_Baixo,1,2
170,Male,32,87,63,Adulto,Renda_Media,Score_Medio,2,0
171,Male,40,87,13,Adulto,Renda_Media,Score_Baixo,1,2
172,Male,28,87,75,Jovem,Renda_Media,Score_Alto,2,0
173,Male,36,87,10,Adulto,Renda_Media,Score_Baixo,1,2
174,Male,36,87,92,Adulto,Renda_Media,Score_Alto,2,0
175,Female,52,88,13,Senior,Renda_Media,Score_Baixo,1,2
176,Female,30,88,86,Adulto,Renda_Media,Score_Alto,2,0
177,Male,58,88,15,Senior,Renda_Media,Score_Baixo,1,2
178,Male,27,88,69,Jovem,Renda_Media,Score_Medio,2,0
179,Male,59,93,14,Senior,Renda_Alta,Score_Baixo,1,2
180,Male,35,93,90,Adulto,Renda_Alta,Score_Alto,2,0
181,Female,37,97,32,Adulto,Renda_Alta,Score_Baixo,1,2
182,Female,32,97,86,Adulto,Renda_Alta,Score_Alto,2,0
183,Male,46,98,15,Adulto,Renda_Alta,Score_Baixo,1,2
184,Female,29,98,88,Jovem,Renda_Alta,Score_Alto,2,0
185,Female,41,99,39,Adulto,Renda_Alta,Score_Medio,1,2
186,Male,30,99,97,Adulto,Renda_Alta,Score_Alto,2,0
187,Female,54,101,24,Senior,Renda_Alta,Score_Baixo,1,2
188,Male,28,101,68,Jovem,Renda_Alta,Score_Medio,2,0
189,Female,41,103,17,Adulto,Renda_Alta,Score_Baixo,1,2
190,Female,36,103,85,Adulto,Renda_Alta,Score_Alto,2,0
191,Female,34,103,23,Adulto,Renda_Alta,Score_Baixo,1,2
192,Female,32,103,69,Adulto,Renda_Alta,Score_Medio,2,0
193,Male,33,113,8,Adulto,Renda_Alta,Score_Baixo,1,2
194,Female,38,113,91,Adulto,Renda_Alta,Score_Alto,2,0
195,Female,47,120,16,Adulto,Renda_Alta,Score_Baixo,1,2
196,Female,35,120,79,Adulto,Renda_Alta,Score_Alto,2,0
197,Female,45,126,28,Adulto,Renda_Alta,Score_Baixo,1,2
198,Male,32,126,74,Adulto,Renda_Alta,Score_Alto,2,0
199,Male,32,137,18,Adulto,Renda_Alta,Score_Baixo,1,2
200,Male,30,137,83,Adulto,Renda_Alta,Score_Alto,2,0
